id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,categoria
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,344.13,2994709307.0,42.0,7227953172.0,68017743.0,357.08,343.33,-12.716562889675572,-3.56356,-109773364.60894108,-3.53596,8700789.0,21000000.0,21000000.0,757.6,-54.63478,2024-03-07T18:45:36.466Z,30.83,1014.78911,2023-05-14T08:57:53.732Z,,2025-05-04T22:32:53.917Z,AI
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.32,2809549376.0,44.0,2898757031.0,117948852.0,2.45,2.31,-0.12342250243635178,-5.05067,-144602626.15376663,-4.89489,1210004344.0,1248423794.0,,20.44,-88.63663,2022-01-16T22:09:45.873Z,0.526762,340.89303,2020-11-04T16:09:15.137Z,,2025-05-04T22:32:54.221Z,AI
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.58,2441800465.0,49.0,2441800465.0,44814619.0,4.76,4.58,-0.16548613221900155,-3.48547,-84834025.37282372,-3.35759,532772758.1194476,532772758.1194476,,700.65,-99.34586,2021-05-10T16:05:53.653Z,2.87,59.9717,2023-09-22T00:29:57.369Z,,2025-05-04T22:32:52.200Z,AI
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.34,2248036926.0,54.0,2312128778.0,177921980.0,4.63,4.27,-0.27313261723629356,-5.91903,-140966052.86759663,-5.90062,517716590.0562826,532476763.3362826,,13.53,-67.95649,2024-03-17T16:30:24.636Z,0.03665669,11731.37655,2020-06-16T13:22:25.900Z,,2025-05-04T22:32:52.853Z,AI
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.651341,1696797433.0,65.0,1768145315.0,92159387.0,0.693173,0.651641,-0.03611400084371974,-5.25329,-93388356.5576706,-5.21669,2604959126.672,2714493896.672,2714493896.672,3.45,-81.09757,2024-03-28T17:21:18.050Z,0.00816959,7892.0519,2020-03-13T02:24:18.347Z,"{'times': 6.512585943497473, 'currency': 'usd', 'percentage': 651.2585943497473}",2025-05-04T22:32:46.467Z,AI
virtual-protocol,virtual,Virtuals Protocol,https://coin-images.coingecko.com/coins/images/34057/large/LOGOMARK.png?1708356054,1.65,1075204118.0,87.0,1648081197.0,266249266.0,1.75,1.58,-0.06797825052822937,-3.96151,-42687873.30411172,-3.8186,652397539.4203515,1000000000.0,1000000000.0,5.07,-67.45459,2025-01-02T06:15:38.599Z,0.00748604,21920.03554,2024-01-23T20:55:21.653Z,,2025-05-04T22:32:51.718Z,AI
story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,3.71,1001965814.0,92.0,3728765931.0,35063750.0,3.78,3.61,-0.05962819302979616,-1.58162,-14583011.689234734,-1.43456,269866034.19,1004293020.82,,7.31,-49.21629,2025-02-26T16:11:25.410Z,1.0,271.29919,2025-02-14T03:11:08.309Z,,2025-05-04T22:32:47.296Z,AI
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.09032,862229252.0,99.0,974153239.0,27917938.0,0.094235,0.089896,-0.003831918437853146,-4.06994,-36747178.926342845,-4.08767,9548531509.16547,10788004319.0,10788004319.0,2.84,-96.82333,2021-02-12T07:28:45.775Z,0.052051,73.41663,2022-11-22T10:05:03.503Z,,2025-05-04T22:32:47.915Z,AI
arweave,ar,Arweave,https://coin-images.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,7.18,469948429.0,153.0,469948429.0,32426748.0,7.6,7.08,-0.0424325478425267,-0.58719,-1521100.4777499437,-0.32263,65454185.5381511,65454185.5381511,66000000.0,89.24,-91.94838,2021-11-05T04:14:42.689Z,0.298788,2304.67525,2020-01-31T06:47:36.543Z,"{'times': 8.707984703343737, 'currency': 'usd', 'percentage': 870.7984703343736}",2025-05-04T22:32:46.675Z,AI
aioz-network,aioz,AIOZ Network,https://coin-images.coingecko.com/coins/images/14631/large/aioz-logo-200.png?1696514309,0.391336,458776511.0,157.0,459487283.0,6523461.0,0.41653,0.391116,-0.02287091642807282,-5.52161,-26460989.15950513,-5.4532,1172122457.999244,1173938399.946968,,2.65,-85.2117,2021-04-03T11:55:34.211Z,0.01099588,3465.18269,2023-09-13T19:20:42.446Z,,2025-05-04T22:32:52.461Z,AI
