id,name,symbol,categoria,price_usd,market_cap,cmc_rank,volume_24h,volume_pct,circulating_supply,total_supply,max_supply,multichain_flag,cex_listed,contract_address,explorers,social_score,rating,halving_flag,wallet_support
bittensor,Bittensor,tao,AI,349.02,3033444975.0,,68486801.0,2.257723530983119,8700789.0,21000000.0,21000000.0,0,,,https://taostats.io/,478771,B,0,1
near,NEAR Protocol,near,AI,2.34,2826739775.0,,114518894.0,4.051271185724905,1210004344.0,1248424149.0,,1,,,"https://nearblocks.io, https://platform.arkhamintelligence.com/explorer/token/near, https://explorer.near.org/",449399,B,0,1
internet-computer,Internet Computer,icp,AI,4.63,2464127634.0,,45845435.0,1.8605138129788936,532772706.0408297,532772706.0408297,,0,,ryjl3-tyaaa-aaaaa-aaaba-cai,https://dashboard.internetcomputer.org/canister/ryjl3-tyaaa-aaaaa-aaaba-cai,350287,B,0,1
render-token,Render,render,AI,4.35,2251258734.0,,171659713.0,7.625054837433004,517716590.0562826,532476763.3362826,,1,,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,"https://solscan.io/token/rndrizkt3mk1iimdxrdwabcf7zg7ar5t4nud4ekhbof, https://platform.arkhamintelligence.com/explorer/token/render-token, https://polygonscan.com/token/0x61299774020da444af134c82fa83e3810b309991",720943,B,0,1
fetch-ai,Artificial Superintelligence Alliance,fet,AI,0.662078,1723872556.0,,89015065.0,5.163668549057173,2604959126.672,2714493896.672,2714493896.672,1,,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,"https://explore.fetch.ai/, https://platform.arkhamintelligence.com/explorer/token/fetch-ai, https://www.mintscan.io/fetchai/",258656,B,0,1
virtual-protocol,Virtuals Protocol,virtual,AI,1.66,1081878845.0,,275720349.0,25.48532585457848,652397539.4203515,1000000000.0,1000000000.0,1,,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,"https://etherscan.io/address/0x44ff8620b8ca30902395a7bd3f2407e1a091bf73, https://platform.arkhamintelligence.com/explorer/token/virtual-protocol, https://etherscan.io/token/0x44ff8620b8ca30902395a7bd3f2407e1a091bf73",470654,A,0,1
story-2,Story,ip,AI,3.71,1001204555.0,,34130047.0,3.4088984942742298,269860410.91,1004286804.41,,0,,,https://www.storyscan.xyz/,328073,B,0,1
the-graph,The Graph,grt,AI,0.090876,866619441.0,,28914944.0,3.336521503214235,9548531509.16547,10788004319.0,10788004319.0,1,,0xc944e90c64b2c07662a292be6244bdf05cda44a7,"https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7, https://platform.arkhamintelligence.com/explorer/token/the-graph, https://ethplorer.io/address/0xc944e90c64b2c07662a292be6244bdf05cda44a7",897808,B,0,1
arweave,Arweave,ar,AI,7.18,469595388.0,,31720476.0,6.754852541268995,65454185.5381511,65454185.5381511,66000000.0,0,,,https://viewblock.io/arweave,846541,B,0,1
aioz-network,AIOZ Network,aioz,AI,0.393539,461289241.0,,6471322.0,1.4028772893057786,1172122457.999244,1173920386.659202,,1,,0x626e8036deb333b408be468f951bdb42433cbf18,"https://explorer.aioz.network, https://platform.arkhamintelligence.com/explorer/token/aioz-network, https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18",891244,B,0,1
beldex,Beldex,bdx,AI,0.064343,459777097.0,,3199631.0,0.6959091744406747,7145262939.062986,9933603051.562988,,0,,,https://explorer.beldex.io/,613091,B,0,1
grass,Grass,grass,AI,1.47,405730962.0,,20687456.0,5.09881126597383,275475576.0,1000000000.0,1000000000.0,0,,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,"https://solscan.io/token/Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs, https://platform.arkhamintelligence.com/explorer/token/grass",419347,B,0,1
akash-network,Akash Network,akt,AI,1.43,354060913.0,,7128995.0,2.0134939323279664,247443076.710739,248288195.807791,388539008.0,1,,uakt,"https://www.mintscan.io/akash, https://akash.aneka.io/, https://akash.ping.pub/",960086,B,0,1
ai16z,ai16z,ai16z,AI,0.264657,291141065.0,,99044033.0,34.01925901452617,1099998638.372759,1099998638.372759,1099999958.01,0,,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,"https://solscan.io/token/HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC, https://platform.arkhamintelligence.com/explorer/token/ai16z",616007,B,0,1
ai16z,ai16z,ai16z,AI,0.264657,291141065.0,,99044033.0,34.01925901452617,1099998638.372759,1099998638.372759,1099999958.01,0,,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,"https://solscan.io/token/HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC, https://platform.arkhamintelligence.com/explorer/token/ai16z",458099,B,0,1
golem,Golem,glm,AI,0.263738,263621898.0,,8716773.0,3.3065436013210103,1000000000.0,1000000000.0,,1,,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,"https://etherscan.io/token/0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429, https://platform.arkhamintelligence.com/explorer/token/golem, https://ethplorer.io/address/0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429",351698,B,0,1
arkham,Arkham,arkm,AI,0.530144,215237935.0,,31235626.0,14.512137927731,405847458.0,1000000000.0,1000000000.0,0,,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,"https://platform.arkhamintelligence.com/explorer/token/arkham, https://etherscan.io/token/0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050, https://ethplorer.io/address/0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050",719813,B,0,1
origintrail,OriginTrail,trac,AI,0.390704,195174907.0,,2027201.0,1.038658622237745,499546955.602,500000000.0,500000000.0,0,,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,"https://etherscan.io/token/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f, https://platform.arkhamintelligence.com/explorer/token/origintrail, https://ethplorer.io/address/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f",1078453,B,0,1
origintrail,OriginTrail,trac,AI,0.390704,195174907.0,,2027201.0,1.038658622237745,499546955.602,500000000.0,500000000.0,0,,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,"https://etherscan.io/token/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f, https://platform.arkhamintelligence.com/explorer/token/origintrail, https://ethplorer.io/address/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f",242978,B,0,1
kaito,KAITO,kaito,AI,0.788118,190218634.0,,23591417.0,12.402263912798364,241388889.0,1000000000.0,1000000000.0,0,,0x98d0baa52b2d063e780de12f615f963fe8537553,https://basescan.org/token/0x98d0baa52b2D063E780DE12F615f963Fe8537553,567703,B,0,1
livepeer,Livepeer,lpt,AI,4.7,189541287.0,,12046227.0,6.355463335014709,40279073.55065384,40279073.55065384,40279073.55065384,1,,0x58b6a8a3302369daec383334672404ee733ab239,"https://etherscan.io/token/0x58b6a8a3302369daec383334672404ee733ab239, https://platform.arkhamintelligence.com/explorer/token/livepeer, https://ethplorer.io/address/0x58b6a8a3302369daec383334672404ee733ab239",361522,B,0,1
vana,Vana,vana,AI,5.28,162770516.0,,15310989.0,9.406487966162128,30800000.0,120000000.0,120000000.0,0,,,https://vanascan.io/,475244,B,0,1
qubic-network,Qubic,qubic,AI,1.38e-06,161701798.0,,1405744.0,0.8693434565273047,116842775117584.0,142441207716652.0,200000000000000.0,0,,,https://explorer.qubic.org/,732255,B,0,1
subsquid,SQD,sqd,AI,0.212771,140654588.0,,3720972.0,2.645467917477388,660988804.5653081,1337000000.0,1337000000.0,1,,0x1337420ded5adb9980cfc35f8f2b054ea86f8ab1,"https://arbiscan.io/token/0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1, https://basescan.org/token/0xd4554bea546efa83c1e6b389ecac40ea999b3e78",1085866,B,0,1
