id,name,symbol,categoria,price_usd,market_cap,cmc_rank,volume_24h,volume_pct,circulating_supply,total_supply,max_supply,social_score,rating,halving_flag,multichain_flag,cex_listed,contract_address,wallet_support,explorers
bittensor,Bittensor,tao,AI,0.022298035,12423826.5,449.0,299116.5,2.257723530983119,8700789.0,21000000.0,21000000.0,,,0,1.0,1.0,0x0d91ebb16291873a0c67158f578ec249f4321b49,,https://taostats.io/
near,NEAR Protocol,near,AI,0.022298035,12423826.5,449.0,299116.5,4.051271185724905,1210004344.0,1248424149.0,1000000000.0,,,0,1.0,1.0,0x0d91ebb16291873a0c67158f578ec249f4321b49,,"https://nearblocks.io, https://platform.arkhamintelligence.com/explorer/token/near, https://explorer.near.org/"
internet-computer,Internet Computer,icp,AI,0.022298035,12423826.5,449.0,299116.5,1.8605138129788936,532772706.0408297,532772706.0408297,1000000000.0,,,0,1.0,1.0,ryjl3-tyaaa-aaaaa-aaaba-cai,,https://dashboard.internetcomputer.org/canister/ryjl3-tyaaa-aaaaa-aaaba-cai
render-token,Render,render,AI,0.022298035,12423826.5,449.0,299116.5,7.625054837433004,517716590.0562826,532476763.3362826,1000000000.0,,,0,1.0,1.0,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,,"https://solscan.io/token/rndrizkt3mk1iimdxrdwabcf7zg7ar5t4nud4ekhbof, https://platform.arkhamintelligence.com/explorer/token/render-token, https://polygonscan.com/token/0x61299774020da444af134c82fa83e3810b309991"
fetch-ai,Artificial Superintelligence Alliance,fet,AI,0.662078,12423826.5,449.0,299116.5,5.163668549057173,2604959126.672,2714493896.672,2714493896.672,,,0,1.0,1.0,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,,"https://explore.fetch.ai/, https://platform.arkhamintelligence.com/explorer/token/fetch-ai, https://www.mintscan.io/fetchai/"
virtual-protocol,Virtuals Protocol,virtual,AI,0.022298035,12423826.5,449.0,299116.5,25.48532585457848,652397539.4203515,1000000000.0,1000000000.0,,,0,1.0,1.0,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,,"https://etherscan.io/address/0x44ff8620b8ca30902395a7bd3f2407e1a091bf73, https://platform.arkhamintelligence.com/explorer/token/virtual-protocol, https://etherscan.io/token/0x44ff8620b8ca30902395a7bd3f2407e1a091bf73"
story-2,Story,ip,AI,0.022298035,12423826.5,449.0,299116.5,3.4088984942742298,269860410.91,1004286804.41,1000000000.0,,,0,1.0,1.0,0x0d91ebb16291873a0c67158f578ec249f4321b49,,https://www.storyscan.xyz/
the-graph,The Graph,grt,AI,0.090876,12423826.5,449.0,299116.5,3.336521503214235,794578865.5996956,10788004319.0,1000000000.0,,,0,1.0,1.0,0xc944e90c64b2c07662a292be6244bdf05cda44a7,,"https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7, https://platform.arkhamintelligence.com/explorer/token/the-graph, https://ethplorer.io/address/0xc944e90c64b2c07662a292be6244bdf05cda44a7"
arweave,Arweave,ar,AI,0.022298035,12423826.5,449.0,299116.5,6.754852541268995,65454185.5381511,65454185.5381511,66000000.0,,,0,1.0,1.0,0x0d91ebb16291873a0c67158f578ec249f4321b49,,https://viewblock.io/arweave
aioz-network,AIOZ Network,aioz,AI,0.393539,12423826.5,449.0,6471322.0,1.4028772893057786,1172122457.999244,1173920386.659202,1000000000.0,,,0,1.0,1.0,0x626e8036deb333b408be468f951bdb42433cbf18,,"https://explorer.aioz.network, https://platform.arkhamintelligence.com/explorer/token/aioz-network, https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18"
beldex,Beldex,bdx,AI,0.064343,12423826.5,449.0,3199631.0,0.6959091744406747,794578865.5996956,9933603051.562988,1000000000.0,,,0,1.0,1.0,0x0d91ebb16291873a0c67158f578ec249f4321b49,,https://explorer.beldex.io/
grass,Grass,grass,AI,0.022298035,12423826.5,449.0,299116.5,5.09881126597383,275475576.0,1000000000.0,1000000000.0,,,0,1.0,1.0,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,,"https://solscan.io/token/Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs, https://platform.arkhamintelligence.com/explorer/token/grass"
akash-network,Akash Network,akt,AI,0.022298035,12423826.5,449.0,7128995.0,2.0134939323279664,247443076.710739,248288195.807791,388539008.0,,,0,1.0,1.0,uakt,,"https://www.mintscan.io/akash, https://akash.aneka.io/, https://akash.ping.pub/"
ai16z,ai16z,ai16z,AI,0.264657,12423826.5,449.0,299116.5,34.01925901452617,1099998638.372759,1099998638.372759,1099999958.01,,,0,1.0,1.0,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,,"https://solscan.io/token/HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC, https://platform.arkhamintelligence.com/explorer/token/ai16z"
golem,Golem,glm,AI,0.263738,12423826.5,449.0,8716773.0,3.3065436013210103,1000000000.0,1000000000.0,1000000000.0,,,0,1.0,1.0,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,,"https://etherscan.io/token/0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429, https://platform.arkhamintelligence.com/explorer/token/golem, https://ethplorer.io/address/0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429"
arkham,Arkham,arkm,AI,0.530144,12423826.5,449.0,299116.5,14.512137927731,405847458.0,1000000000.0,1000000000.0,,,0,1.0,1.0,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,,"https://platform.arkhamintelligence.com/explorer/token/arkham, https://etherscan.io/token/0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050, https://ethplorer.io/address/0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050"
